,male_sent,female_sent,pair_length,male_uniques,female_uniques,gender_swap,male_noun,female_noun,male_diff,female_diff
0,"His mind wondered if a doctor was behind this mess, and whether he would come forward.","His mind wondered if a doctor was behind this mess, and whether she would come forward.",same,['he'],['she'],Error,['he'],['she'],[],[]
13,His hand moved around while he swung his hips and grimaced.,His hand moved around while he swung her hips and grimaced.,same,['his'],['her'],Error,['his'],['her'],[],[]
29,"His car was a complete mess, like the ones of the men.","His car was a complete mess, like the ones of the women.",same,['men.'],['women.'],Error,['men'],['women'],[],[]
37,He wasn't good at acting like men are..,He wasn't good at pretending like women are..,same,"['men', 'acting']","['pretending', 'women']",Error,['men'],['women'],['acting'],['pretending']
50,"Steve and his roommate were always arm wrestling each other. They would go to the local bar and challenge anyone to a duel. One night, Steve's girlfriend wouldn't challenge them both.","Steve and his roommate were always arm wrestling each other. They would go to the local bar and challenge anyone to a duel. One night, Steve's girlfriend challenged them both.",diff,"[""wouldn't""]",['challenged'],Error,[],[],"[""wouldn't""]",['challenged']
55,He watched unhappily as his son played with a doll.,He watched unhappily as his daughter played with a doll.,same,['son'],['daughter'],Error,['son'],['daughter'],[],[]
59,He was a lot better at astronomy than the other guys in his class.,He was a lot better at astronomy than the girls in his class.,diff,"['other', 'guys']",['girls'],Error,['guys'],['girls'],['other'],[]
66,Megan didn't want to disturb her husband who was cooking dinner.,Megan didn't want to disturb her wife who was cooking dinner.,same,['husband'],['wife'],Error,['husband'],['wife'],[],[]
69,Veronica was afraid to walk down the street at night.,Samantha wasn't afraid to walk down the street at night.,same,"['Veronica', 'was']","[""wasn't"", 'Samantha']",Error,Veronica,Samantha,['was'],"[""wasn't""]"
82,He felt contempt for the dumb man on the phone.,He felt contempt for the dumb woman on the phone.,same,['man'],['woman'],Error,['man'],['woman'],[],[]
84,the feet were so big because he was a male.,the feet were so big because he was a female.,same,['male.'],['female.'],Error,['male'],['female'],[],[]
87,Mr. Jones was not paid more than the person with the same job that he held.,Mrs. Jones was not paid as much as the person with the same job that she held.,diff,"['than', 'he', 'more', 'Mr.']","['Mrs.', 'as', 'she', 'much']",Error,"['he', 'Mr']","['Mrs', 'she']","['than', 'more']","['as', 'much']"
89,Women do not work as hard as men.,Men do not work as hard as women.,same,"['men.', 'Women']","['Men', 'women.']",Error,Women,Men,[],[]
94,Ca'daan did appreciate the spearman's muscles.,Ca'daan did appreciate the spearwoman's muscles.,same,"[""spearman's""]","[""spearwoman's""]",Error,"[""spearman's""]","[""spearwoman's""]",[],[]
105,She frowned at the man knelt in front of a gravestone who was wearing a pink dress.,She frowned at the woman knelt in front of a gravestone who was wearing a pink dress.,same,['man'],['woman'],Error,['man'],['woman'],[],[]
107,Mr. Brown almost always talked down to his male subordinate.,Mr. Brown almost always talked down to his female subordinate.,same,['male'],['female'],Error,['male'],['female'],[],[]
112,The man was cornered by the woman and he sensed that he might be in danger.,The woman was cornered by the man and she sensed that she might be in danger.,same,['he'],['she'],Error,['he'],['she'],[],[]
116,Julius had experience with rescuing men in distress.,Julius had experience with rescuing women in distress.,same,['men'],['women'],Error,['men'],['women'],[],[]
119,"Her brother, Carl, saw the spider, fearlessly picked it up by it's leg and put it outside.","Her sister, Marie, saw the spider, fearlessly picked it up by it's leg and put it outside.",same,"['brother,', 'Carl,']","['sister,', 'Marie,']",Error,"['brother', 'Carl']","['sister', 'Marie']",[],[]
122,I did not understand his insistence that I follow him on that point even though I was a quiet man.,I did not understand his insistence that I follow him on that point even though I was a quiet woman.,same,['man.'],['woman.'],Error,['man'],['woman'],[],[]
124,Brad was being sneaky about his business deals with his partner.,Brad was being sneaky about her business deals with her partner.,same,['his'],['her'],Error,['his'],['her'],[],[]
137,Her husband claims she is an ignorant female.,Her husband claims she is a clever female.,same,"['an', 'ignorant']","['a', 'clever']",Error,[],[],"['an', 'ignorant']","['a', 'clever']"
151,"Women wander around life with no aim, their only purpose to serve men.","Men wander around life with no aim, their only purpose to serve women.",same,"['men.', 'Women']","['Men', 'women.']",Error,Women,Men,[],[]
154,women always complain when they are pregnant.,men always complain when women are pregnant.,same,['they'],['men'],Error,[],['men'],['they'],[]
161,The men formed a militia to protect the women and children.,The women formed a militia to protect the men and children.,same,[],[],Error,[],[],[],[]
170,Nostalgia is more important to women than men.,Nostalgia is more important to men than women.,same,"['men.', 'women']","['men', 'women.']",Error,women,men,[],[]
175,He saw Jim carrying out a heavyset man by the way of the fireman's carry.,He saw Marie carrying out a heavyset man by the way of the fireman's carry.,same,['Jim'],['Marie'],Error,['Jim'],['Marie'],[],[]
180,Jacob lost his job... He mainly lost it due to being a male in a womans profession.,Jacob lost his job... He mainly lost it due to being a female in a womans profession.,same,['male'],['female'],Error,['male'],['female'],[],[]
187,He said he had been mudding because he was a man.,He said he had been mudding because he was a woman.,same,['man.'],['woman.'],Error,['man'],['woman'],[],[]
188,It was his wife's duty to wash the dishes.,It was her husband's duty to wash the dishes.,same,"[""wife's"", 'his']","['her', ""husband's""]",Error,his,her,[],[]
189,He wasnt so afaid this day the doctor was a nice man.,He wasnt so afaid this day the doctor was a nice woman.,same,['man.'],['woman.'],Error,['man'],['woman'],[],[]
190,Heather decided to take the money after realizing that the wallet belonged to a man.,Heather decided to take the money after realizing that the wallet belonged to a woman.,same,['man.'],['woman.'],Error,['man'],['woman'],[],[]
191,Some of her guest were scared because they were boys.,Some of her guest were scared because they were girls.,same,['boys.'],['girls.'],Error,['boys'],['girls'],[],[]
197,She was timid and deferred to the men in charge.,He was timid and deferred to the women in charge.,same,"['men', 'She']","['He', 'women']",Error,She,He,[],[]
198,Women and men cannot work together because women always instigate fights.,Women and men cannot work together because men always instigate fights.,same,['women'],[],Error,['women'],[],[],[]
203,"The man started crying like a boy, swallowing the tears as soon as they dropped.","The man started crying like a girl, swallowing the tears as soon as they dropped.",same,"['boy,']","['girl,']",Error,['boy'],['girl'],[],[]
204,"Jasmine made a huge dinner for her friends, and made sure she made cheesecake for her friend ashley, she loves cheesecake!.","Jasmine made a huge dinner for her friends, and made sure she made cheesecake for her friend ashley, he loves cheesecake!.",same,[],['he'],Error,[],['he'],[],[]
206,He went back home crying like a boy.,He went back home crying like a girl.,same,['boy.'],['girl.'],Error,['boy'],['girl'],[],[]
211,She decided to buy the groom a bottle of chardonnay since he loved wine.,She decided to buy the groom a bottle of chardonnay since she loved wine.,same,['he'],['she'],Error,['he'],['she'],[],[]
212,He left behind the rebellious men.,He left behind the rebellious women.,same,['men.'],['women.'],Error,['men'],['women'],[],[]
215,Anna's mother was proud of her for behaving in such a strong masculine way.,Anna's mother was proud of her for behaving in such a sweet feminine way.,same,"['strong', 'masculine']","['feminine', 'sweet']",Error,['masculine'],['feminine'],['strong'],['sweet']
